TEST-EINR
BioMate 3S v4.000I 2K6N070003

Kinetik                    22:45 12Aug13
Testbez.                          ------
Messmodus                     Absorption
Wellenlnge                      436.0nm
Ref.-Wellenlg.korrektur              Aus
Delay-Zeit (min:sec)                0:00
Intervallzeit (min:sek)             0:01
Gesamtlaufzeit(hr:min:sec)       0:05:00
Zeige Ergebnis                       Ein
Faktor                             1.000
Einheitn                               C
Linearittswert                    0.005
Probenposition            Einfachhalter-
ID# (0=AUS)                            1
Untere/Obere Grenze           -9999/9999
Auto Speichern                       Aus


HH:MM:SS   Abs    Delta   Lin
--------  ------  ------  ---
 0:00:00   0.044  ------  ---
 0:00:01   0.048   0.004  ---
 0:00:02   0.051   0.003   L 
 0:00:03   0.054   0.003   L 
 0:00:04   0.056   0.002   L 
 0:00:05   0.057   0.001   L 
 0:00:06   0.058   0.001   L 
 0:00:07   0.059   0.001   L 
 0:00:08   0.060   0.001   L 
 0:00:09   0.060   0.000   L 
 0:00:10   0.061   0.001   L 
 0:00:11   0.061   0.000   L 
 0:00:12   0.061   0.000   L 
 0:00:13   0.061   0.000   L 
 0:00:14   0.062   0.001   L 
 0:00:15   0.068   0.006   N 
 0:00:16   0.077   0.009   L 
 0:00:17   0.080   0.003   N 
 0:00:18   0.075  -0.005   N 
 0:00:19   0.066  -0.009   L 
 0:00:20   0.064  -0.002   N 
 0:00:21   0.065   0.001   L 
 0:00:22   0.066   0.001   L 
 0:00:23   0.067   0.001   L 
 0:00:24   0.067   0.000   L 
 0:00:25   0.067   0.000   L 
 0:00:26   0.066  -0.001   L 
 0:00:27   0.066   0.000   L 
 0:00:28   0.065  -0.001   L 
 0:00:29   0.065   0.000   L 
 0:00:30   0.065   0.000   L 
 0:00:31   0.065   0.000   L 
 0:00:32   0.065   0.000   L 
 0:00:33   0.065   0.000   L 
 0:00:34   0.065   0.000   L 
 0:00:35   0.065   0.000   L 
 0:00:36   0.065   0.000   L 
 0:00:37   0.064  -0.001   L 
 0:00:38   0.064   0.000   L 
 0:00:40   0.064   0.000   L 
 0:00:41   0.064   0.000   L 
 0:00:42   0.064   0.000   L 
 0:00:43   0.064   0.000   L 
 0:00:44   0.064   0.000   L 
 0:00:45   0.064   0.000   L 
 0:00:46   0.064   0.000   L 
 0:00:47   0.064   0.000   L 
 0:00:48   0.064   0.000   L 
 0:00:49   0.064   0.000   L 
 0:00:50   0.064   0.000   L 
 0:00:51   0.063  -0.001   L 
 0:00:52   0.063   0.000   L 
 0:00:53   0.063   0.000   L 
 0:00:54   0.063   0.000   L 
 0:00:55   0.063   0.000   L 
 0:00:56   0.063   0.000   L 
 0:00:57   0.063   0.000   L 
 0:00:58   0.063   0.000   L 
 0:00:59   0.063   0.000   L 
 0:01:00   0.063   0.000   L 
 0:01:01   0.063   0.000   L 
 0:01:02   0.063   0.000   L 
 0:01:03   0.063   0.000   L 
 0:01:04   0.062  -0.001   L 
 0:01:05   0.062   0.000   L 
 0:01:06   0.062   0.000   L 
 0:01:07   0.062   0.000   L 
 0:01:08   0.062   0.000   L 
 0:01:09   0.062   0.000   L 
 0:01:10   0.062   0.000   L 
 0:01:11   0.062   0.000   L 
 0:01:12   0.062   0.000   L 
 0:01:13   0.062   0.000   L 
 0:01:14   0.062   0.000   L 
 0:01:15   0.062   0.000   L 
 0:01:16   0.062   0.000   L 
 0:01:17   0.062   0.000   L 
 0:01:18   0.062   0.000   L 
 0:01:19   0.062   0.000   L 
 0:01:20   0.062   0.000   L 
 0:01:21   0.062   0.000   L 
 0:01:22   0.062   0.000   L 
 0:01:23   0.062   0.000   L 
 0:01:24   0.062   0.000   L 
 0:01:25   0.062   0.000   L 
 0:01:26   0.062   0.000   L 
 0:01:28   0.061  -0.001   L 
 0:01:29   0.061   0.000   L 
 0:01:30   0.061   0.000   L 
 0:01:31   0.061   0.000   L 
 0:01:32   0.061   0.000   L 
 0:01:33   0.061   0.000   L 
 0:01:34   0.061   0.000   L 
 0:01:35   0.061   0.000   L 
 0:01:36   0.061   0.000   L 
 0:01:37   0.061   0.000   L 
 0:01:38   0.061   0.000   L 
 0:01:39   0.061   0.000   L 
 0:01:40   0.061   0.000   L 
 0:01:41   0.061   0.000   L 
 0:01:42   0.061   0.000   L 
 0:01:43   0.061   0.000   L 
 0:01:44   0.061   0.000   L 
 0:01:45   0.061   0.000   L 
 0:01:46   0.061   0.000   L 
 0:01:47   0.061   0.000   L 
 0:01:48   0.061   0.000   L 
 0:01:49   0.061   0.000   L 
 0:01:50   0.061   0.000   L 
 0:01:51   0.061   0.000   L 
 0:01:52   0.061   0.000   L 
 0:01:53   0.061   0.000   L 
 0:01:54   0.061   0.000   L 
 0:01:55   0.061   0.000   L 
 0:01:56   0.061   0.000   L 
 0:01:57   0.061   0.000   L 
 0:01:58   0.061   0.000   L 
 0:01:59   0.061   0.000   L 
 0:02:00   0.061   0.000   L 
 0:02:01   0.061   0.000   L 
 0:02:02   0.060  -0.001   L 
 0:02:03   0.060   0.000   L 
 0:02:04   0.060   0.000   L 
 0:02:05   0.060   0.000   L 
 0:02:06   0.060   0.000   L 
 0:02:07   0.060   0.000   L 
 0:02:08   0.060   0.000   L 
 0:02:09   0.060   0.000   L 
 0:02:10   0.060   0.000   L 
 0:02:11   0.060   0.000   L 
 0:02:12   0.060   0.000   L 
 0:02:13   0.060   0.000   L 
 0:02:15   0.060   0.000   L 
 0:02:16   0.060   0.000   L 
 0:02:17   0.060   0.000   L 
 0:02:18   0.060   0.000   L 
 0:02:19   0.060   0.000   L 
 0:02:20   0.060   0.000   L 
 0:02:21   0.060   0.000   L 
 0:02:22   0.060   0.000   L 
 0:02:23   0.060   0.000   L 
 0:02:24   0.059  -0.001   L 
 0:02:25   0.059   0.000   L 
 0:02:26   0.059   0.000   L 
 0:02:27   0.059   0.000   L 
 0:02:28   0.059   0.000   L 
 0:02:29   0.059   0.000   L 
 0:02:30   0.059   0.000   L 

       ID#  Abs/Min    Ergebnis   C
         3   0.006      0.006     
